id,type,name,aliases,region,state,city,lat,lon,facets,what,root,kin,sources,tier,confidence,needs_verification,updated,url
eastern-nc,style,Eastern North Carolina barbecue,Eastern-style|Down East barbecue|whole-hog barbecue|Eastern Carolina barbecue,nc-east|nc,NC,,35.47,-77.42,"{""state"": ""NC"", ""meat"": ""whole hog"", ""base"": ""vinegar-pepper"", ""fuel"": ""mixed""}","The whole pig, split and cooked over coals or on a gas or electric cooker, then chopped — skin, ham, shoulder, loin and belly together, 'every part of the hog except the squeal' — and dressed after cooking with a thin sauce of vinegar, salt, black pepper and crushed red pepper. No tomato. It is served with mayonnaise slaw, cornbread or hushpuppies, and often boiled potatoes, on a tray or a sandwich with the slaw on the meat. The style belongs to the Coastal Plain east of Raleigh; Ayden, Goldsboro, Wilson, Kinston, Rocky Mount and Greenville are its towns.",,lexington|vinegar-pepper-sauce|whole-hog|white-slaw|cornbread|pig-pickin|skylight-inn|sc-pee-dee|barbecue,s:wp-barbecue-in-north-carolina|s:reed-holy-smoke|s:garner-flavored-by-time|s:miller-black-smoke|s:ncpedia-barbecue|s:wp-skylight-inn-bbq|s:wp-meltons-barbecue,cited,high,False,2026-09-16,https://nanobotco.github.io/carolina-barbecue/style/eastern-nc/
lexington,style,Lexington-style barbecue,Lexington barbecue|Piedmont-style barbecue|Western-style barbecue|Western North Carolina barbecue,nc-piedmont|nc,NC,,35.797,-80.274,"{""state"": ""NC"", ""meat"": ""shoulder"", ""base"": ""lexington-dip"", ""fuel"": ""wood""}","Pork shoulders cooked slowly over hardwood coals, usually hickory, then chopped, coarse-chopped or sliced and dressed with a thin red sauce the Piedmont calls dip: vinegar, ketchup or tomato, water, salt, pepper and red pepper, sweeter or hotter by the house. It comes with red slaw — cabbage dressed with the same dip instead of mayonnaise — and hushpuppies, on a tray or a bun. The style belongs to the Piedmont west of Raleigh. Lexington, a Davidson County town of about 20,000 that calls itself the Barbecue Capital of the World and counted more than twenty barbecue restaurants in 2003, is its center; Greensboro, Salisbury, Shelby and High Point are its other towns.",,eastern-nc|lexington-dip|red-slaw|pork-shoulder|hickory-and-oak|outside-brown|hushpuppies|barbecue-tray|barbecue-sandwich|chopped|dip|piedmont|sid-weaver|jess-swicegood|warner-stamey|wayne-monk|jerry-bledsoe|dennis-rogers|lexington-barbecue|bar-b-q-center|stameys-barbecue|red-bridges-barbecue-lodge|cooks-barbecue|short-sugars|lexington-barbecue-festival|sc-light-tomato|barbecue,s:wp-barbecue-in-north-carolina|s:wp-lexington-north-carolina|s:wp-lexington-barbecue-festival|s:wp-lexington-barbecue|s:wp-north-carolina-barbecue-society|s:wp-coleslaw|s:web-stameys-history|s:web-ourstate-stameys|s:web-ourstate-lexington-barbecue|s:web-ourstate-lexington-cover-up|s:web-abc-barbecue-feud|s:web-bbqjew-defining-styles|s:web-lexbbq|s:web-sfa-nc-trail|s:web-scba-bbq-history|s:reed-holy-smoke,cited,high,False,2026-09-15,https://nanobotco.github.io/carolina-barbecue/style/lexington/
sc-heavy-tomato,style,Heavy tomato barbecue,heavy-tomato style|tomato-and-sugar barbecue|Upstate barbecue|western South Carolina barbecue,sc-upstate|sc,SC,,34.8611,-82.4133,"{""state"": ""SC"", ""meat"": ""shoulder"", ""base"": ""heavy-tomato"", ""fuel"": ""mixed""}","Pork shoulders and butts, ribs and chicken cooked over hickory or on cookers and served with a thick, sweet, red sauce of tomato, brown sugar or molasses, vinegar and spices — the sauce the state tourism office says you are most likely to find on a grocery shelf, and the one most of the country means by barbecue sauce. The four-sauce map gives it the western and northwestern corner of South Carolina: Greenville, Spartanburg, Anderson, Greenwood, the Savannah River side. Hash here is often beef, or pork and beef with onions, over rice.",,heavy-tomato-sauce|sc-light-tomato|sc-mustard|sc-pee-dee|hash-and-rice|pork-shoulder|hickory-and-oak|henrys-smokehouse|festival-of-discovery|lake-high|south-carolina-barbeque-association,s:wp-barbecue-in-south-carolina|s:wp-barbecue-sauce|s:wp-hash-stew|s:web-sc-four-sauces|s:sc-parks-sauce-map|s:web-scba-bbq-history|s:web-henrys-smokehouse|s:web-henrys-destination-bbq|s:web-discovergreenwood-festival|s:high-sc-barbeque,cited,medium,True,2026-09-16,https://nanobotco.github.io/carolina-barbecue/style/sc-heavy-tomato/
sc-light-tomato,style,Light tomato barbecue,light-tomato style|vinegar-and-ketchup barbecue|upper Midlands barbecue,sc-pee-dee|sc-upstate|sc,SC,,34.705,-81.2133,"{""state"": ""SC"", ""meat"": ""mixed"", ""base"": ""light-tomato"", ""fuel"": ""mixed""}","Pork — whole hog in the Pee Dee, shoulders and hams in the upper Midlands — cooked over coals or on cookers and served with a thin sauce that is the Carolinas' vinegar-and-pepper with ketchup stirred in. On South Carolina's four-sauce map, as the state tourism office and the South Carolina Barbeque Association publish it, it holds the Pee Dee and the upper middle of the state along the North Carolina line. Hash comes with it, of beef as often as pork toward the Upstate. It is the South Carolina twin of Lexington's dip, and the Barbeque Association's history maps the North Carolina Piedmont and the South Carolina Pee Dee as one light-tomato country.",,light-tomato-sauce|lexington|lexington-dip|vinegar-pepper-sauce|sc-pee-dee|sc-heavy-tomato|sc-mustard|hash-and-rice|midway-bbq|lake-high|robert-moss|pee-dee|piedmont|south-carolina-barbeque-association,s:wp-barbecue-in-south-carolina|s:wp-barbecue-sauce|s:wp-hash-stew|s:web-sc-four-sauces|s:sc-parks-sauce-map|s:web-scba-bbq-history|s:web-sfa-midway|s:web-midway-bbq|s:high-sc-barbeque,cited,medium,True,2026-09-15,https://nanobotco.github.io/carolina-barbecue/style/sc-light-tomato/
sc-mustard,style,South Carolina mustard barbecue,Midlands barbecue|mustard-based barbecue|Carolina Gold barbecue|Dutch Fork barbecue,sc-midlands|sc,SC,,34.0006,-81.0347,"{""state"": ""SC"", ""meat"": ""mixed"", ""base"": ""mustard"", ""fuel"": ""mixed""}","Pork — whole hogs at some pits, hams or shoulders at others — cooked over hardwood coals or on cookers, chopped or pulled, and dressed with a yellow sauce of prepared mustard, vinegar, sugar and spices. Hash, a stew of pork and onions that in the Midlands often takes mustard too, comes over white rice beside it, and the meal is often a buffet. The style belongs to the Midlands, the counties around Columbia: a belt the geographers Charles Kovacik and John Winberry drew in 1987 from Newberry and Lexington counties down through Orangeburg toward Charleston, the German-settled country whose fork of the Saluda and Broad rivers is called the Dutch Fork.",,mustard-sauce|hash-and-rice|sc-pee-dee|sc-light-tomato|sc-heavy-tomato|eastern-nc|whole-hog|pork-shoulder|hickory-and-oak|dutch-fork|carolina-gold|maurice-bessinger|joe-bessinger|lake-high|robert-moss|maurices-piggie-park|bessingers-bar-b-q|sweatmans-bar-b-que|dukes-bar-b-que|hites-bar-b-q|shealys-bar-b-que|jackie-hites-bar-b-q|cannons-bbq|south-carolina-barbeque-association|barbecue-sandwich,s:wp-barbecue-in-south-carolina|s:wp-dutch-fork|s:wp-orangeburg-south-carolina|s:wp-maurice-bessinger|s:wp-newman-v-piggie-park|s:wp-dukes-bar-b-que|s:wp-hash-stew|s:web-sc-four-sauces|s:sc-parks-sauce-map|s:web-scba-bbq-history|s:web-piggiepark-mustard|s:web-charlestonmag-mustard-migration|s:web-bessingers-destination-bbq|s:web-sfa-sweatmans|s:web-sweatmans-history|s:web-hites-destination-bbq|s:web-sfa-jackie-hites|s:web-shealys|s:high-sc-barbeque,cited,high,False,2026-09-15,https://nanobotco.github.io/carolina-barbecue/style/sc-mustard/
sc-pee-dee,style,Pee Dee whole-hog barbecue,Pee Dee barbecue|vinegar-and-pepper barbecue|Williamsburg County barbecue|South Carolina whole hog,sc-pee-dee|sc-lowcountry|sc,SC,,33.7517,-79.4464,"{""state"": ""SC"", ""meat"": ""whole hog"", ""base"": ""vinegar-pepper"", ""fuel"": ""wood""}","Whole hogs cooked overnight over hardwood coals, pulled or chopped, and dressed with a thin sauce of vinegar, salt, black pepper and red pepper — the same sauce as eastern North Carolina's across the state line. The skin is taken off and fried into skins sold by the bag. Hash over rice, chicken bog, slaw and white bread fill the plate, often from a buffet. The style belongs to the Pee Dee, the northeast of South Carolina along the Pee Dee and Black rivers — Hemingway, Kingstree, Manning, Florence — and runs down the coast, where the state tourism office marks vinegar-and-pepper as the sauce of the shore.",,eastern-nc|vinegar-pepper-sauce|sc-mustard|sc-light-tomato|whole-hog|pork-skins|hash-and-rice|chicken-bog|burn-barrel|block-pit|direct-heat|pee-dee|rodney-scott|scotts-bar-b-que|rodney-scotts-whole-hog-bbq|browns-bar-b-que|mccabes-bar-b-q|coopers-country-store|pig-pickin|southern-foodways-alliance|barbecue-sandwich,s:wp-barbecue-in-south-carolina|s:wp-barbecue-sauce|s:wp-scotts-variety-store-and-bar-b-q|s:wp-rodney-scott|s:wp-rodney-scotts-whole-hog-bbq|s:wp-kingstree-south-carolina|s:wp-hemingway-south-carolina|s:wp-chicken-bog|s:wp-whole-hog-barbecue|s:web-sc-four-sauces|s:web-scba-bbq-history|s:web-sfa-scotts|s:web-scotts-destination-bbq|s:web-sfa-coopers|s:web-sfa-browns|s:web-sc-whole-hog|s:web-sfa-sc-trail|s:sfa-oral-histories,cited,high,False,2026-09-15,https://nanobotco.github.io/carolina-barbecue/style/sc-pee-dee/
bone-suckin-sauce,sauce,Bone Suckin' Sauce,Bone Suckin' Sweet Southern|Ford's Foods sauce,nc-east|nc,,,,,"{""base"": ""heavy-tomato"", ""styles"": [""eastern-nc""]}","A Raleigh line of bottled sauces, of which the one that built the brand is Sweet Southern: cane sugar first, tomato puree second, water third, apple cider vinegar fourth, at six grams of sugar to the tablespoon. The house also bottles an Eastern Vinegar sauce, whose label puts apple cider vinegar and distilled vinegar first and tomato paste sixth, and a mustard whose seven ingredients name no tomato at all. One maker, three readings of the same state's shelf.",,heavy-tomato-sauce|eastern-nc|vinegar-pepper-sauce|mustard-sauce|pork-shoulder,s:web-bonesuckin-sweet-southern|s:web-bonesuckin-eastern-vinegar|s:web-bonesuckin-mustard|s:web-bonesuckin-eastern-nc-page|s:web-usda-fdc-branded|s:web-sauce-harvest-2026-09-16|s:wikibooks-barbecue-sauce-kansas-city-style|s:wikibooks-barbecue-sauce-i|s:book-mrs-hills-new-cook-book,cited,high,False,2026-09-16,https://nanobotco.github.io/carolina-barbecue/sauce/bone-suckin-sauce/
carolina-treet,sauce,Carolina Treet,Carolina Treet Cooking Barbecue Sauce|Carolina Treet Original,nc-east|nc,,,,,"{""base"": ""other"", ""styles"": [""eastern-nc""]}","A Wilmington sauce that fits none of the four Carolina bases. Its label reads water, vinegar, wheat flour, salt, soybean oil, paprika, garlic, onion, xanthan gum, spices — no tomato, no mustard, no sugar. The wheat flour does what tomato paste does elsewhere: it thickens. What it tastes of is vinegar, smoke and salt, and it carries 536 milligrams of sodium in a tablespoon, the highest figure among the sixty-eight bottles this project measured. The bottle calls itself a cooking barbecue sauce, meaning it goes on during the cook rather than at the table.",,eastern-nc|vinegar-pepper-sauce|barbecue-chicken|heavy-tomato-sauce,s:web-usda-fdc-branded|s:web-legacyfamilyfoods|s:web-sauce-harvest-2026-09-16|s:book-mrs-hills-new-cook-book|s:book-virginia-house-wife,harvested,medium,True,2026-09-16,https://nanobotco.github.io/carolina-barbecue/sauce/carolina-treet/
georges-barbecue-sauce,sauce,George's Barbecue Sauce,George's Sauce|George's Original|George's of Nashville,nc-east|nc,,,,,"{""base"": ""lexington-dip"", ""styles"": [""eastern-nc""]}","A bottled sauce from Nashville, North Carolina, a Nash County town on the edge of the Coastal Plain, sold in three strengths: Original, Hot and Special. The Original's label reads vinegar, water, tomato concentrate, tomato paste, sugar, apples, salt, high fructose corn syrup, corn syrup, red pepper and spices — vinegar leading, tomato third and fourth, and a sweetening that runs to three separate entries. It carries 3.5 grams of sugar in a tablespoon and 180 milligrams of sodium. The Special reverses the first four: tomato concentrate and tomato paste come before the water and the vinegar, and jalapenos join the list.",,eastern-nc|lexington-dip|vinegar-pepper-sauce|scotts-barbecue-sauce|pulled-pork,s:web-georges-our-story|s:web-usda-fdc-branded|s:web-sauce-harvest-2026-09-16|s:wikibooks-eastern-north-carolina-barbecue-sauce|s:book-mrs-hills-new-cook-book|s:wikibooks-barbecue-sauce-sweet,cited,high,False,2026-09-16,https://nanobotco.github.io/carolina-barbecue/sauce/georges-barbecue-sauce/
golding-farms-sauces,sauce,Golding Farms Foods,Golding Farms|Golding Blends,nc-piedmont|nc,,,,,"{""base"": ""mustard"", ""styles"": [""lexington""]}","A Winston-Salem sauce manufacturer, the second of that city's two, and one whose output mostly reaches a table under someone else's name. It sells a retail line under the Golding Farms label — the Honey Mustard dipping sauce reads distilled vinegar, canola oil, sugar, honey, water, mustard seed, at 3.5 grams of sugar to the tablespoon — and blends and packs sauces for brands, food service and industrial customers.",,texas-pete|mustard-sauce|lexington,s:web-goldingblends-about|s:web-usda-fdc-branded|s:web-sauce-harvest-2026-09-16|s:book-mrs-hills-new-cook-book|s:wikibooks-savory-mustard-sauce|s:wikibooks-barbecue-sauce-sweet,cited,medium,True,2026-09-16,https://nanobotco.github.io/carolina-barbecue/sauce/golding-farms-sauces/
